name,entries/usernames,entries/emails,breach_date
MechoDownload.com,0,297300,2013-10-00
MilitarySingles.com,0,142551,0000-00-00
MoDaCo.com,0,446982,2016-01-00
MuslimMatch.com,0,50571,2016-06-00
MyRepoSpace.com,0,211524,2015-04-00
NodusGriefing.com,0,42094,2012-12-00
Nulled.io,467503,502754,2016-05-06
OshoWorld.com,0,57190,0000-00-00
Oulfa.fr,0,264811,2015-00-00
OwnagePranks.com,0,75274,2016-08-00
PCMasters.de,0,37983,2016-07-00
Planet3dnow.de,0,46891,2016-09-00
Plex.tv,0,122585,2015-00-00
PPCGeeks.com,0,297479,2016-08-00
ProgrammingForums.org,445034,155,2015-00-00
RemoteStaff.com.au,0,72932,2016-03-00
RN.org,0,259220,2016-02-00
Scam.com,0,293043,2016-00-00
Sciax2.it,0,221116,0000-00-00
Sensimillalebest,0,15942,2016-04-00
Short-Fiction.co.uk,0,11064,2016-05-00
ShowMe.com,0,452692,2017-00-00
Sirumem.com,0,70468,2015-09-00
Superbetter.com,0,34015,2017-01-00
TheBot.net,0,72218,2012-08-00
TienGanh.com.vn,0,384212,0000-00-00
TodoTorrents.com,0,521173,0000-00-00
Torrent-Invites.com,223999,228332,2016-08-00
Type-Together.com,0,58026,0000-00-00
VBForums.com,0,129758,2016-07-00
vBulletin.org,0,413396,2016-03-00
VHB.com,0,14258,2015-04-00
ViralNugget.com,0,27756,0000-00-00
Youku.com,0,98216693,2016-12-01
ZeroToHundred.com,0,104213,2016-07-00
Zoosk.com,0,51593101,2011-01-01
Socialkit.ru,0,36505,0000-00-00
Ulmon.com,0,122502,2020-01-26
LinkedIn.com,0,54476656,2012-05-05
D3scene.com,0,409544,2019-06-11
FirstVDS,0,27207,2012-08-14
vkmix.com,1565568,1816043,2020-03-00
xSplit,2759189,4412587,2013-11-07
Dailymotion/Dropbox/Canva/8fit Compilation,0,396562,0000-00-00
PinPics.com,0,35647,0000-00-00
Akiba-Heroine.com,0,158540,0000-00-00
BollywoodHunts.com,0,87133,0000-00-00
Anidub,0,20419,2018-08-00
Warmane.com,0,834919,2016-12-01
Shein.com,0,21115951,2018-06-01
Wishbone.io,7996562,8720942,2020-01-28
Screenblaze.com,0,260256,2017-00-00
MySpace.com,94546438,336547108,2008-07-01
DailyBooth.com,0,1029945,2020-05-00
CafeMom.com,0,2628025,2014-04-10
Sprashivai.ru,11590995,12816712,2015-05-11
LastCraft,0,31904,2019-00-00
TimeCraft,0,2348,2018-00-00
Evite.com,0,10971532,2013-08-11
Neopets.com,61768568,32474454,2013-05-05
Disqus.com,0,19504897,2012-07-01
Konduit,152669,161849,2020-05-00
Cristalix,49174,49883,2018-00-00
Ultraflix.com,0,602037,2020-05-12
ShortTask.com,0,199595,2020-05-12
Sonicbids.com,0,161275,2020-01-00
Nulled.ch,20097,20182,2020-05-20
Waydate.com,99627,100336,2018-00-00
Primegaming,0,9427,2016-05-00
Lifebear.com,1696413,1817930,2019-02-28
Mashacker.com,218891,228019,2020-02-06
Celebriti.com,0,97354,2020-05-00
AdultFriendFinder,110299763,108470726,2016-10-16
Taringa.net,26653470,26882333,2017-08-01
Twitter.com,1576451,23703260,2016-00-00
Chronicle.com,1356629,1335903,2020-05-30
Comcast,0,590123,2015-11-08
F.elex.com,0,16744,2016-07-00
HiAPK.com,1761451,7070878,2014-01-01
Crautos.com,0,206571,0000-00-00
AshleyMadison.com,15728896,4260,2015-07-19
TechnicPack.net,35525,36810,2018-11-00
Sreda.photo,0,24017,2020-05-00
SoulSplit,0,1517,0000-00-00
Weddbook.com,0,40952,2020-03-18
BlackSpigot.com,225363,12884,2019-07-14
Minube.com,815918,1034494,0000-00-00
Zomato.com,0,618181,2017-05-17
Epicbot.com,632978,643019,2019-09-01
GoGames.me,1992926,2101057,2015-10-00
Kotofoto.ru,0,15655,2019-11-30
Nexva.com,0,78443,2020-02-00
Socialengineered.net,31191,32104,2019-06-00
360icons.com,30396,30714,2013-11-00
ikov.io,252369,0,2015-01-00
PocketGamer.co.uk,27372,31395,2018-00-00
PokeCommunity.com,243885,257657,2013-01-00
LyricsMania.com,102239,107436,2017-12-00
LeoTVHD.com,0,24128,2017-00-00
Mathway.com,0,15972298,2020-01-13
PoliceOne.com,431692,466437,2014-07-01
SaintsCraft,0,2987,2020-06-00
mariage.fr,0,25266,2018-00-00
newseasims.com,202862,44061,2016-08-00
Pasteware.team,0,681,2020-04-00
Fling.com,36024062,40678431,2011-03-10
JobTH.com,0,2378161,2019-00-00
Raetsel.de,0,28474,2016-08-00
CouponMom / ArmorGames,0,11023029,2014-02-08
FunFaceCam.com,16042,17116,2019-10-00
Foodora.com,0,271384,2016-04-22
Avito.ru,0,28113803,2017-00-00
TheFaveApp.com,0,563410,2016-00-00
VipHackForums.net,22982,24360,2014-00-00
Forum.CallOfGods.com,111424,114678,2017-02-00
