leakname,entries,source
lifetip.icross.co.kr,1151727,dataviper.io
Comcast.com (Apr 2016),1149684,dataviper.io
www.rongshuxia.com,1140742,dataviper.io
DaniWeb.com,1131078,dataviper.io
onlinebloodbank.com,1128031,dataviper.io
epforums.org,1116627,dataviper.io
Youthmanual.com,1110858,dataviper.io
BTC-E,1109128,dataviper.io
emuparadise.me,1108152,dataviper.io
masedworld.ruk, 1104279,dataviper.io
mail.kompamagazine.com,1103635,dataviper.io
www.brandownerssummit.com,1096673,dataviper.io
Elance.com,1083025,dataviper.io
Artsy.net,1079410,dataviper.io
Zepo.com,1075373,dataviper.io
ChessHere.com,1074086,dataviper.io
wordpress,1071956,dataviper.io
fijilive.com,1071610,dataviper.io
lavoraconnoi.euronics.it,1061975,dataviper.io
mobildepo.com,1052532,dataviper.io
mobildepo.com (11-2019),1052145,dataviper.io
HazeCash.com,1048521,dataviper.io
Yanolja.com,1046885,dataviper.io
nexoneu,1039743,dataviper.io
www.oasiscollectors.com,1031852,dataviper.io
BinWeevils (2014),1022883,dataviper.io
Forbes.com (Jan 2014),1018259,dataviper.io
flashgame.hehagame.com,1009492,dataviper.io
BodyJewelleryShop.com,1007886,dataviper.io
gamecom.comk,1005040,dataviper.io
yue.com[1kkNOHASH],1004634,dataviper.io
facebook.com accounts,999686,dataviper.io
streeteasy.com,990287,dataviper.io
minecoin,989815,dataviper.io
Bolt.cd,985047,dataviper.io
groupon.co.id, 972704,dataviper.io
kupivip.ru no passwords,968872,dataviper.io
EuroGunz.net (Jan 2012),966741,dataviper.io
eurogunz,965768,dataviper.io
forum.multiplayer.it,963295,dataviper.io
www.cambridge.edu.au,953604,dataviper.io
Poloniex,952457,dataviper.io
PokemonNegro.com,951373,dataviper.io
pokemon negro,951125,dataviper.io
NextGenUpdate.com,947153,dataviper.io
Classmates.com,943752,dataviper.io
poloniex.com,938650,dataviper.io
california.bizhwy.com,931515,dataviper.io
Brazzers 2013,928071,dataviper.io
GlobalReachTech.com,924285,dataviper.io
www.hichem.com,923893,dataviper.io
storelp.ru{.921.784},921663,dataviper.io
somespainishforum (01-2020),919775,dataviper.io
HabboSt,917006,dataviper.io
Ozon.ru,916695,dataviper.io
m.facebook.in.th,916485,dataviper.io
oasiscollectors.com,912506,dataviper.io
WowHead.com,909495,dataviper.io
desteria forums,909305,dataviper.io
doublefuns.com (12-2019),903323,dataviper.io
memberreportaccess.com,895900,dataviper.io
SlotoCash,892941,dataviper.io
sportsbook.com,890772,dataviper.io
WcReplays.com,889089,dataviper.io
MoDaCo.com,885519,dataviper.io
habbo.st,885329,dataviper.io
MoDaCo.com (Jan 2016),883582,dataviper.io
XpGameSaves.com,882029,dataviper.io
FoxyBingo.com,877977,dataviper.io
AbbyWinters.com,871178,dataviper.io
Prometheus combo,870487,dataviper.io
www.babynames.com,867327,dataviper.io
axparisdev.co.uk,865494,dataviper.io
funplanet.se,865412,dataviper.io
game.kaidown.com,860849,dataviper.io
Stratfor,860158,dataviper.io
Warmane.com,852180,dataviper.io
unigame.com (12-2019),851321,dataviper.io
www.thaiacoustic.com,850525,dataviper.io
FirefoxSync.Bforce (Aug 2016),847154,dataviper.io
Babynames.com,843315,dataviper.io
obeikaneducation.com,838896,dataviper.io
instantfuns.com (01-2020),836520,dataviper.io
epicbot.com,833911,dataviper.io
Gamster Bedwars,833556,dataviper.io
Onverse.com (Jan 2016),830018,dataviper.io
Payasugym.com,824081,dataviper.io
Nulled.to Ban List,823195,dataviper.io
Gizwits.com (Sep 2016),819878,dataviper.io
euronote.hu,817427,dataviper.io
Renren,814840,dataviper.io
hongfire.com march 2015,813278,dataviper.io
vivagames.com (12-2019),803316,dataviper.io
Desteria,798477,dataviper.io
SaksFifthAvenueSept2006,792681,dataviper.io
OnVerse.com 2016-01,791490,dataviper.io
EuroGunz.net,791380,dataviper.io
PS3Hax.net,786593,dataviper.io
BlackMarketReloaded,786417,dataviper.io
yworld.co.za,784570,dataviper.io
openraid.org,783064,dataviper.io
divxsubtitles.com,783005,dataviper.io
