dump_name,breach_date,record_count,source,info
CarMedia.bg,,4974,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Areavag.com,,91469,Hashmob,vBulletin < v3.8.5
AirsoftStation.com,,75197,Hashmob,PBKDF2-HMAC-SHA256
CityJerks.com [phpass],,6176,Hashmob,phpass
CityJerks.com [VB],,81776,Hashmob,vBulletin < v3.8.5
Omnimaga.org,,1791,Hashmob,SMF (Simple Machines Forum) > v1.1
Omnimaga.org [BCRYPT],,3106,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
GamePlanet.com,,1691457,Hashmob,md5($salt.$pass)
CutOut.pro,,1826231,Hashmob,md5($pass.$salt)
demo.qampus.net,,13078,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
datalinkek.com,,99648,Hashmob,vBulletin >= v3.8.5
UKScrappers.com,,50438,Hashmob,vBulletin < v3.8.5
Tendenz.bg,,45671,Hashmob,"osCommerce, xt:Commerce"
GamingMonk.com,,609360,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Fantamatic.com,,57420,Hashmob,MD5
Doomworld.com,,26559,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Abandonia.com [2022],,919823,Hashmob,vBulletin < v3.8.5
Ankaradil.com,,42018,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Ankaradil.com [presta],,9224,Hashmob,PrestaShop
Xiledgaming.com,,4964,Hashmob,bcrypt(md5($pass)) / bcryptmd5
Xiledgaming.com [VB],,108518,Hashmob,vBulletin >= v3.8.5
Meetmindful.com,,1395741,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Descomplica.com (PBKDF2),,4621310,Hashmob,(unsupported) PBKDF2-HMAC-SHA1
Ancient-forums.com,,69268,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Advkino.ru,,19793,Hashmob,Drupal7
Justiva.ru,,120992,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
forums.shell-livewire.com,,208871,Hashmob,MD5
forums.idcgames.com (md5),,4002627,Hashmob,md5(md5($salt).md5(md5($pass)))
forums.gtrcanada.com,,105923,Hashmob,vBulletin >= v3.8.5
StayFul.com (sha256),,159940,Hashmob,sha256($salt.$pass)
Have I been Pwned V8.12 (Delta V8.4) (SHA1),,778688,Hashmob,SHA1
Gixen.com,,226382,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
RuneVillage.com,,40665,Hashmob,phpass
Realcoding.net,,86983,Hashmob,MD5
Overclockzone.com [bcrypt],,23082,Hashmob,bcrypt(md5($pass)) / bcryptmd5
Overclockzone.com [VB],,652662,Hashmob,vBulletin >= v3.8.5
MMO-Trick.com [VB],,98715,Hashmob,vBulletin < v3.8.5
Live4fun.ru,,126727,Hashmob,MD5
Leopays.com,,111289,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Learnable.com,,1019784,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Kiteforum.com,,19729,Hashmob,phpass
JoyHeat.com,,1100821,Hashmob,MD5
Hopzone.net [bcrypt],,15414,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Hopzone.net [VB],,162583,Hashmob,vBulletin < v3.8.5
Guns.com,,156678,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
GetCarrier.com,,136470,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
GameVN.com,,1319014,Hashmob,vBulletin < v3.8.5
Descomplica.com,,208608,Hashmob,SHA2-384
Cigreviews.com,,113347,Hashmob,MD5
Cigreviews.com [VB],,156155,Hashmob,vBulletin < v3.8.5
Atmeltomo.com,,376899,Hashmob,MD5
CapitalGames.com [bcrypt],,6262,Hashmob,bcrypt(md5($pass)) / bcryptmd5
DanceSport.ru,,13490,Hashmob,vBulletin >= v3.8.5
DCEmu.co.uk,,481162,Hashmob,vBulletin < v3.8.5
Chronicle.com [sha512crypt],,13852,Hashmob,"sha512crypt $6$, SHA512 (Unix)"
Chronicle.com [md5crypt],,2505622,Hashmob,"md5crypt, MD5 (Unix), Cisco-IOS $1$ (MD5)"
Chronicle.com [des],,437483,Hashmob,"descrypt, DES (Unix), Traditional DES"
Citytel.bg,,12292,Hashmob,sha1($salt.$pass)
Capitalgames.com,,448526,Hashmob,vBulletin >= v3.8.5
Bsaber.com,,624521,Hashmob,phpass
Boheme.com.ua,,73683,Hashmob,"osCommerce, xt:Commerce"
CallOfGods.com [MD5],,1823434,Hashmob,MD5
SlideTeam.net,,1462188,Hashmob,md5($salt.$pass)
SlideTeam.net [Magento],,936,Hashmob,sha256($salt.$pass)
MagicDuel.com,,109399,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Fitmart.de,,336408,Hashmob,sha512($pass.$salt)
Fitmart.de [md5],,94637,Hashmob,md5($pass.$salt)
DreamConsole.com,,240490,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
CBJDiffusion.com,,134467,Hashmob,MD5
Akargo.com,,10812,Hashmob,OpenCart
Brews-bros.com,,19629,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Bourguignonbois.be,,10328,Hashmob,PrestaShop
BGHelp.co.uk [2711],,34696,Hashmob,vBulletin >= v3.8.5
BGHelp.co.uk [2611],,54453,Hashmob,vBulletin < v3.8.5
bikesportadventure.com,,42468,Hashmob,md5($salt.md5($pass))
bikesportadventure.com (bcrypt),,16638,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
biblio.bg,,37924,Hashmob,MD5
bestauto.bg,,32464,Hashmob,PrestaShop
bestauto.bg (bcrypt),,661,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Eksmo.ru,,263165,Hashmob,md5($salt.$pass)
Eksmo.ru (sha512crypt),,276998,Hashmob,"sha512crypt $6$, SHA512 (Unix)"
bass8.it (old),,113109,Hashmob,PrestaShop
Rozakhutor.com,,515730,Hashmob,md5($salt.$pass)
bass8.it,,12939,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Rozakhutor.com (sha512crypt),,7117,Hashmob,"sha512crypt $6$, SHA512 (Unix)"
Chordie.com [sha1],,408692,Hashmob,SHA1
Chordie.com [md5],,56879,Hashmob,MD5
Trackitt.com,,36211,Hashmob,SHA1
Trackitt.com [salted],,378149,Hashmob,sha1($salt.$pass)
ArmyforceOnline.com,,1374845,Hashmob,MD5
Have I been Pwned V8.4 (Delta V8) (SHA1),,18050003,Hashmob,SHA1
LeagueSpy.com,,146555,Hashmob,phpass
SpaceTimeStudios.com,,7796333,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
level.travel,,317986,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
MovieForums.com,,26287,Hashmob,vBulletin < v3.8.5
THCTalk.com [2711],,63163,Hashmob,vBulletin >= v3.8.5
Rebonz.co.kr,,1128857,Hashmob,MySQL4.1/MySQL5
PoorShark.com (md5),,2251,Hashmob,MD5
THCTalk.com [2611],,18693,Hashmob,vBulletin < v3.8.5
Urok.1c.ru (md5),,3994,Hashmob,md5($salt.$pass)
Urok.1c.ru,,375673,Hashmob,"sha512crypt $6$, SHA512 (Unix)"
OasisGames.com,,397942,Hashmob,md5($pass.$salt)
Ikovps.com,,31754,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Near-Reality.org,,17205,Hashmob,vBulletin >= v3.8.5
Near-Reality.org (mybb),,2987,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
PoorShark.com,,41271,Hashmob,phpass
OS-Scape.com,,464480,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
forums.spacetimestudios.com,,181767,Hashmob,vBulletin >= v3.8.5
GuruFocus.com (md5),,168570,Hashmob,MD5
mumayi (md5),,132479,Hashmob,MD5
GuruFocus.com (bcrypt),,1691297,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
doxbin.com (bcrypt),,51244,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
chattertzu (IPB),,58381,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
BDSMSutra.com,,45512,Hashmob,md5($salt.$pass)
psxplace,,24968,Hashmob,vBulletin >= v3.8.5
4cheat.ru (bcrypt),,7380,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
CryptoHopper (phpBB3),,68416,Hashmob,phpass
Boardakshop.ru,,2252,Hashmob,MD5
CryptoHopper (md5),,329193,Hashmob,MD5
CryptoHopper (vbulletin),,59646,Hashmob,vBulletin >= v3.8.5
dastar.se,,2028,Hashmob,MD5
Youhack.ru [VB],,73294,Hashmob,vBulletin >= v3.8.5
Boardakshop.ru (md5salt),,1291,Hashmob,OpenCart
Appticket.com,,85249,Hashmob,MD5
XBIZ.net,,27959,Hashmob,vBulletin < v3.8.5
allo-internet.ru,,110919,Hashmob,md5($salt.$pass)
Katapult.com,,18253,Hashmob,Django (PBKDF2-SHA256)
Youhack.ru,,27131,Hashmob,md5(md5($pass))
Sythe.org,,403290,Hashmob,vBulletin < v3.8.5
Ulmon.com,,1274383,Hashmob,bcrypt(sha1($pass)) / bcryptsha1
toontownalleybanned,,70,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Verified.cash,,24812,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
lolzteam.ru,,21321,Hashmob,vBulletin >= v3.8.5
Kixify.com,,2609518,Hashmob,MD5
HomeRefill.com.br,,190634,Hashmob,sha512($pass.$salt)
Onlinetrade.ru,,1100918,Hashmob,MD5
NFLRush.com,,385977,Hashmob,MD5
happy-hack.ru,,17109,Hashmob,md5(md5($pass))
avtoto.ru,,459497,Hashmob,MD5
Exvagos.com,,2122353,Hashmob,vBulletin < v3.8.5
school.mos.ru mixed MD5,,4387662,Hashmob,MD5
Telderi.ru bcrypt,,102953,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
ahoygame.com,,174647,Hashmob,vBulletin < v3.8.5
Antichat.ru,,41128,Hashmob,vBulletin < v3.8.5
VPK Forums,,44150,Hashmob,vBulletin >= v3.8.5
ABFRL.com,,2782915,Hashmob,md5($salt.$pass)
Unigame.com,,857789,Hashmob,vBulletin < v3.8.5
PRS06,,69190,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
SkylarGame,,255548,Hashmob,vBulletin >= v3.8.5
Kinokong.org,,468244,Hashmob,md5(md5($pass))
EpicNPC.com,,400065,Hashmob,vBulletin >= v3.8.5
datehotbrunettes.com,,1130829,Hashmob,MD5
community.tribot.org,,22779,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
scufgaming,,2809,Hashmob,phpass
Neonet.pl salted,,212613,Hashmob,md5(md5($pass).md5($salt))
fuelly.com,,192255,Hashmob,vBulletin < v3.8.5
streamcraft.com bcrypt,,1260298,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
ClickASnap.com bcrypt,,232482,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Powerbot.org,,536590,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
ChelseaFCForums.com,,25900,Hashmob,phpass
dev.dota2.com,,436181,Hashmob,vBulletin >= v3.8.5
GGCorp.me,,2500521,Hashmob,vBulletin < v3.8.5
r2sales.com,,20257,Hashmob,sha256($pass.$salt)
ClashOfClansBuilder.com,,532398,Hashmob,MD5
evonyp2,,7149360,Hashmob,MD5
datpiff.com,,4301895,Hashmob,md5($pass.$salt)
habbo.st,,318752,Hashmob,md5($pass.$salt)
Neonet.pl,,340210,Hashmob,MD5
artframesusa.com,,388,Hashmob,"osCommerce, xt:Commerce"
APK.tw,,2434929,Hashmob,vBulletin < v3.8.5
g7ass7jxdtwz3bib,,32562,Hashmob,phpass
GameSalad.com (sha1),,35898,Hashmob,SHA1
Book24.ua,,313341,Hashmob,md5($salt.$pass)
4cheat.ru,,200823,Hashmob,vBulletin >= v3.8.5
naturallycurly,,178512,Hashmob,vBulletin < v3.8.5
SideMC.net,,327338,Hashmob,md5(md5($pass))
Benchmark.pl (md5),,125807,Hashmob,MD5
boostbot.org,,1009049,Hashmob,"MyBB 1.2+, IPB2+ (Invision Power Board)"
Start.ru,,9137788,Hashmob,"md5crypt, MD5 (Unix), Cisco-IOS $1$ (MD5)"
boostbot.org (bcrypt),,171925,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
lucasforums,,154618,Hashmob,vBulletin < v3.8.5
DLH.net (sha1),,1456711,Hashmob,SHA1
oneville.ru,,8352,Hashmob,"bcrypt $2*$, Blowfish (Unix)"
Ubisoft.com Forum,,943029,Hashmob,vBulletin >= v3.8.5
kidscreations.com,,44338,Hashmob,md5($salt.sha1($salt.$pass))
KickStarter.com,,4396359,Hashmob,Ruby on Rails Restful-Authentication
opensc,,33281,Hashmob,vBulletin >= v3.8.5
valkyrie-wow,,157020,Hashmob,sha1($salt.$pass)
seoforums,,71462,Hashmob,vBulletin >= v3.8.5
BrandNewTube.com,,327732,Hashmob,SHA1
Satvenus.com,,338810,Hashmob,vBulletin >= v3.8.5
Ria.ru,,350346,Hashmob,sha256($salt.$pass)
gratisgodis,,91165,Hashmob,MD5
