dump_name,breach_date,record_count,info,source
JD.com,N/A,106392448,N/A,Dehashed
Liker,N/A,364769,N/A,Dehashed
SubaGames.com,N/A,6702696,N/A,Dehashed
tunngle.net,N/A,8195146,N/A,Dehashed
DailyQuiz.me,N/A,12866801,N/A,Dehashed
avvo,N/A,4105096,N/A,Dehashed
BlueSnap_Payments_1,N/A,7860,N/A,Dehashed
BlueSnap_Payments_2,N/A,194744,N/A,Dehashed
BlueSnap_Payments_3,N/A,3352,N/A,Dehashed
Gawker,N/A,802722,N/A,Dehashed
LuminPDF,N/A,24375212,N/A,Dehashed
Shein.com_Plaintext,N/A,29242614,N/A,Dehashed
CityBee,N/A,110303,N/A,Dehashed
ClearVoiceSurveys,N/A,17560326,N/A,Dehashed
Clubhouse,N/A,1300517,N/A,Dehashed
DucksOrg,N/A,1994937,N/A,Dehashed
DucksOrg_2,N/A,468373,N/A,Dehashed
elitemeeting.com_2015,N/A,569733,N/A,Dehashed
Famm.us,N/A,1429140,N/A,Dehashed
FILMAI.IN,N/A,645975,N/A,Dehashed
Glofox,N/A,2579835,N/A,Dehashed
Instagram,N/A,4280044,N/A,Dehashed
Ledger,N/A,272853,N/A,Dehashed
livepure,N/A,1861816,N/A,Dehashed
LovePlanet,N/A,20017826,N/A,Dehashed
Parkmobile.us,N/A,21890325,N/A,Dehashed
Kaneva.com,N/A,3911135,N/A,Dehashed
usa_cell_db_2019,N/A,178148170,N/A,Dehashed
InstaFit,N/A,759094,N/A,Dehashed
ReadNovel.com,N/A,19157642,N/A,Dehashed
Short-Edition.com,N/A,513260,N/A,Dehashed
Acuity,N/A,245569563,N/A,Dehashed
Acxiom,N/A,242485734,N/A,Dehashed
Verified.cm,10 January 2014,16994,"Email Addresses, Historical passwords, IP Addresses, Passwords, Private messages, Usernames, Website activity",Dehashed
Lupaworld,November 2016,523927,"Usernames, Emails, Passwords, IP Addresses",Dehashed
Tamodo,28 February 2020,494907,"Dates of birth, Email Addresses, Genders, Geographic locations, IP Addresses, Names, Passwords",Dehashed
Zoomcar.com,1 July 2018,3589907,"Email Addresses, IP Addresses, Names, Passwords, Phone numbers",Dehashed
Forum.darluok-server.com,2018,348056,"Email Addresses, IP Addresses, Names, Passwords",Dehashed
Solomid.net,22 December 2014,442515,"Email Addresses, IP Addresses, Passwords, Usernames",Dehashed
WorldPokerTour,January 2014,90207,"Email Addresses, Passwords",Dehashed
Newyorkfestivals.com,-,1066117,-,Dehashed
Sprashivai.ru,2015,3518459,"Email Addresses, Passwords (Plaintext)",Dehashed
Livejournal.com,1 January 2017,33724393,"Email Addresses, Passwords, Usernames",Dehashed
TheTVDB.com,21 November 2017,192847,"Email Addresses, Passwords, Usernames",Dehashed
Forums.iobit.com,-,72658,-,Dehashed
Webkinz,2020,22982321,"Usernames, Passwords",Dehashed
Darluok-server.com,2018,374271,"Email Addresses, IP Addresses, Names, Passwords",Dehashed
rising-gods.de,2018,378004,"Email Addresses, IP Addresses, Passwords, Usernames",Dehashed
Houzz.com,23 May 2018,51733980,"Email Addresses, Geographic locations, IP Addresses, Names, Passwords, Social media profiles, Usernames",Dehashed
Kuretar-serveur.fr,2018,8195,"Email Addresses, IP Addresses, Names, Passwords",Dehashed
Smolderforge.com,2018,9661,"Email Addresses, IP Addresses, Names, Passwords",Dehashed
Bbs.xiaomi.com,1 August 2012,7082950,"Email Addresses, IP Addresses, Passwords, Usernames",Dehashed
OngabRU,2019,147257,"Email Addresses, Social Media profiles (VK, FB), Passwords, BIO Data, Registry Dates, Usernames",Dehashed
Estantevirtual,2019,5459403,"Emails, Usernames, Passwords, Names, Addresses, and Phone Numbers",Dehashed
WeHeartIt,3 November 2013,8604982,"Email Addresses, Passwords, Usernames",Dehashed
Lifebear,28 February 2019,3692868,"Email Addresses, Passwords, Usernames",Dehashed
Elanic,1 January 2018,2798909,"Email Addresses, Geographic locations, Usernames",Dehashed
Suxx.to,15 May 2020,290,"Usernames, Email Addresses, Passwords, IP Addresses, Dates of Birth, Website Activity",Dehashed
Forum.starsonata.com,December 2018,19454,"Email Addresses, Passwords, Usernames",Dehashed
Freegame2017.com,-,41585,"Email Addresses, Passwords",Dehashed
Tusfiles,December 2019,869886,"Usernames, Passwords",Dehashed
Tokopedia,17 April 2020,91173992,"Dates of birth, Email Addresses, Genders, Names, Passwords",Dehashed
Guy4game.com,-,166465,"Usernames, Passwords",Dehashed
Rbx.Rocks,August 2018,98507,"Email Addresses, Names, Passwords, Registry Dates, Socials",Dehashed
FoxIT,October 2015,555793,"Email Addresses, Usernames, Passwords",Dehashed
Neverendless-wow.com,2018,76038,"Email Addresses, Passwords, Usernames",Dehashed
Coinmama.com,3 August 2017,486218,"Email Addresses, Passwords, Usernames",Dehashed
Silkroad,2012,11530396,"Usernames, Email Addresses, Game Info, Passwords",Dehashed
Cryptostar.asia,2020,22329,"Email Addresses, Passwords, IP Addresses",Dehashed
Mrexcel.com,5 December 2016,314227,"Dates of birth, Email Addresses, IP Addresses, Passwords, Social connections, Usernames, Website activity",Dehashed
Sweclockers,1 April 2015,254915,"Email Addresses, Passwords, Usernames",Dehashed
Lyricsmania,21 December 2017,91052,"Email Addresses, Passwords, Usernames",Dehashed
MyBBDizayn,20 May 2020,298,"Usernames, Email Addresses, Passwords, IP Addresses, Dates of Birth, Website Activity",Dehashed
Hocbaionha,2020,50629,"Usernames, Emails Addresses, Passwords, Countries, First Names, Last Names",Dehashed
FFShrine,18 September 2015,575975,"Email Addresses, Passwords, Usernames, Website activity",Dehashed
AnimeGame.me,27 February 2020,1435270,"Email Addresses, Passwords, Usernames",Dehashed
Coachella,22 February 2017,956119,"Email Addresses, IP Addresses, Passwords, Usernames",Dehashed
Gamesalad.com,24 February 2019,1499336,"Email Addresses, IP Addresses, Passwords, Usernames",Dehashed
Mmokings.com,2018,87976,"Email Addresses, Passwords, Usernames",Dehashed
Ticketfly,31 May 2018,6150855,"Email Addresses, Names, Phone numbers, Physical Addresses",Dehashed
