Database Name,Database DL Link,Database URL Source,Captcha,Direct
http://artrookie.co.uk,http://siph0n.net/exploits.php?id=4275,http://siph0n.net/leaks.php?page=7,,
http://ascentproject.eu,http://siph0n.net/exploits.php?id=4577,http://siph0n.net/leaks.php?page=4,,
http://asuslaptop.co.uk,http://siph0n.net/exploits.php?id=4305,http://siph0n.net/leaks.php?page=7,,
http://athensescortsgreece.com,http://siph0n.net/exploits.php?id=4251,http://siph0n.net/leaks.php?page=7,,
http://autostyle.co.uk,http://siph0n.net/exploits.php?id=4750,http://siph0n.net/leaks.php?page=3,,
http://awardz.org + SQLi,http://siph0n.net/exploits.php?id=1066,http://siph0n.net/leaks.php?page=15,,
http://backtoschoolclothingdrive.com,http://siph0n.net/exploits.php?id=4384,http://siph0n.net/leaks.php?page=6,,
http://balancek.com,http://siph0n.net/exploits.php?id=4341,http://siph0n.net/leaks.php?page=7,,
"http://baltimorejewishlife.com - 19,497 Plaintext",http://siph0n.net/exploits.php?id=1834,http://siph0n.net/leaks.php?page=13,,
http://baseclick.eu,http://siph0n.net/exploits.php?id=3837,http://siph0n.net/leaks.php?page=10,,
http://battlefy.com,http://siph0n.net/exploits.php?id=4364,http://siph0n.net/leaks.php?page=6,,
http://belgiumescortgirls.com,http://siph0n.net/exploits.php?id=4252,http://siph0n.net/leaks.php?page=7,,
http://bestbulbsdirect.com,http://siph0n.net/exploits.php?id=4217,http://siph0n.net/leaks.php?page=8,,
"http://bf1942.sk - 230,334 users",http://siph0n.net/exploits.php?id=3583,http://siph0n.net/leaks.php?page=12,,
http://bharatlaws.com,http://siph0n.net/exploits.php?id=4096,http://siph0n.net/leaks.php?page=9,,
http://bible-history.com,http://siph0n.net/exploits.php?id=4392,http://siph0n.net/leaks.php?page=6,,
http://bible-history.com,http://siph0n.net/exploits.php?id=4389,http://siph0n.net/leaks.php?page=6,,
http://bikesbikesbikesuk.co.uk,http://siph0n.net/exploits.php?id=4365,http://siph0n.net/leaks.php?page=6,,
http://biologicalstaincommission.org,http://siph0n.net/exploits.php?id=4425,http://siph0n.net/leaks.php?page=6,,
http://biomeeter.com,http://siph0n.net/exploits.php?id=3976,http://siph0n.net/leaks.php?page=10,,
http://bitcoin.lixter.com,http://siph0n.net/exploits.php?id=3554,http://siph0n.net/leaks.php?page=13,,
http://boutiqueoffbroadway.com,http://siph0n.net/exploits.php?id=3762,http://siph0n.net/leaks.php?page=11,,
http://bpjsketenagakerjaan.go.id,http://siph0n.net/exploits.php?id=3564,http://siph0n.net/leaks.php?page=12,,
http://bpjsketenagakerjaan.go.id,http://siph0n.net/exploits.php?id=3564,http://siph0n.net/leaks.php?page=12,,
http://bworldonline.com,http://siph0n.net/exploits.php?id=3875,http://siph0n.net/leaks.php?page=10,,
