dump_name,breach_date,record_count,source
idcgames.com,2021-04-27,4003641,BreachDirectory
book24.ru,2024-04-26,4003251,BreachDirectory
limetray.com,2022-02-28,3997705,BreachDirectory
habibs.com.br,2021-09-23,3934847,BreachDirectory
gogames.me,2020-04-28,3924754,BreachDirectory
kaneva.com,2021-06-21,3911134,BreachDirectory
city-mobil.ru,2024-01-26,3910924,BreachDirectory
legendas.tv,2020-04-30,3866738,BreachDirectory
puntochat.it,2017-09-21,3858336,BreachDirectory
tchatpassion.com,2020-09-15,3822878,BreachDirectory
flipkart.com,2023-01-23,3810441,BreachDirectory
quidd.co,2020-03-23,3806117,BreachDirectory
nomer.io,2021-09-30,3751654,BreachDirectory
onlinetrade.ru,2022-10-23,3744188,BreachDirectory
apk.tw,2022-10-23,3725222,BreachDirectory
mobifriends.com,2020-04-22,3687343,BreachDirectory
bell.ca,2020-07-08,3635232,BreachDirectory
neteller.com,2017-06-05,3621582,BreachDirectory
autohome.com.cn,2018-03-19,3614190,BreachDirectory
patreon.com,2017-06-16,3607507,BreachDirectory
qrshs.com,2022-10-27,3597237,BreachDirectory
zoomcar.com,2020-05-22,3590186,BreachDirectory
mashable.com,2020-11-25,3543611,BreachDirectory
18.205.224.59,2023-07-04,3543345,BreachDirectory
sushi-master.ru,2024-01-26,3536849,BreachDirectory
chatib.us,2017-11-08,3536281,BreachDirectory
colorado.gov,2017-05-25,3525885,BreachDirectory
sprashivai.ru,2017-07-08,3520001,BreachDirectory
sharecash.org,2017-11-03,3518373,BreachDirectory
text.ru,2022-08-22,3493369,BreachDirectory
evaluar.com,2024-06-17,3451708,BreachDirectory
interpals.net,2017-11-13,3450438,BreachDirectory
chronicle.com,2020-06-22,3448060,BreachDirectory
nnm-club.ru,2020-07-20,3429552,BreachDirectory
clickasnap.com,2022-11-02,3426822,BreachDirectory
denniskirk.com,2025-01-23,3397435,BreachDirectory
liveauctioneers.com,2020-07-20,3389533,BreachDirectory
leroymerlin.ru,2024-04-10,3352642,BreachDirectory
gbatemp.net,2020-07-08,3340100,BreachDirectory
clf09.com,2022-08-03,3282689,BreachDirectory
minube.net,2020-07-21,3245793,BreachDirectory
dlh.net,2017-11-05,3231356,BreachDirectory
pluto.tv,2020-11-13,3226619,BreachDirectory
dragonnest.com,2017-03-24,3222603,BreachDirectory
swordfantasy.com,2020-04-06,3206382,BreachDirectory
lbb.in,2021-01-05,3122262,BreachDirectory
coinmarketcap.com,2023-01-23,3120408,BreachDirectory
kixify.com,2023-07-24,3087605,BreachDirectory
tigtag.com,2021-07-23,3078952,BreachDirectory
havenly.com,2020-08-04,3071214,BreachDirectory
mop.com,2017-05-23,3040148,BreachDirectory
boutiqaat.com,2024-11-21,3020610,BreachDirectory
yue.com,2017-08-22,3010034,BreachDirectory
makaan.com,2020-05-22,3008853,BreachDirectory
miniclip.com,2020-05-22,2992447,BreachDirectory
usaboatownersclub,2018-03-18,2986157,BreachDirectory
eharmony.com,2020-07-21,2971341,BreachDirectory
onebip.com,2020-06-11,2928432,BreachDirectory
over-blog.com,2019-10-28,2927791,BreachDirectory
adapt.io,2021-02-03,2926960,BreachDirectory
foursquare.com,2020-04-10,2900985,BreachDirectory
gatehub.net,2019-12-11,2848247,BreachDirectory
eatigo.com,2020-11-12,2841869,BreachDirectory
huntstand.com,2024-10-08,2816946,BreachDirectory
locally.com,2022-10-27,2808282,BreachDirectory
elanic.in,2021-10-20,2798914,BreachDirectory
promofarma.com,2020-12-10,2773098,BreachDirectory
tuts.by,2021-01-05,2769573,BreachDirectory
jobth.com,2020-06-25,2730099,BreachDirectory
avito.ma,2023-01-12,2728091,BreachDirectory
gianttiger.com,2024-04-15,2700087,BreachDirectory
duolingo.com,2023-08-24,2698305,BreachDirectory
cafemom.com,2019-12-17,2628588,BreachDirectory
nival.com,2017-07-31,2611526,BreachDirectory
gsmhosting.com,2021-01-11,2611291,BreachDirectory
glofox.com,2020-12-10,2579860,BreachDirectory
freecycle.org,2024-05-30,2544258,BreachDirectory
craftrise.com.tr,2023-08-23,2532725,BreachDirectory
lekoolgames.com,2020-05-29,2529993,BreachDirectory
mpgh.net,2017-02-20,2519364,BreachDirectory
funimation.com,2017-04-10,2513524,BreachDirectory
roadtrippers.com,2020-07-22,2511174,BreachDirectory
ggcorp.me,2022-09-01,2504726,BreachDirectory
xsplit.com,2017-04-18,2500025,BreachDirectory
jpoint.co.in,2024-03-01,2493460,BreachDirectory
r-rp.ru,2022-10-07,2483901,BreachDirectory
drizly.com,2020-08-04,2479146,BreachDirectory
morele.net,2019-04-24,2474113,BreachDirectory
armyforceonline.com,2017-02-20,2465663,BreachDirectory
mspy.com,2024-09-12,2461815,BreachDirectory
fashionfantasygame.com,2017-04-14,2447297,BreachDirectory
vtightgel.net,2017-05-26,2447188,BreachDirectory
ducks.org,2021-06-03,2441696,BreachDirectory
gamesalad.com,2019-10-29,2422351,BreachDirectory
yvesrocher.ca,2021-04-22,2406975,BreachDirectory
sephora.sg,2019-12-17,2381082,BreachDirectory
classmates.com,2019-03-06,2371101,BreachDirectory
ggumim.co.kr,2020-08-04,2332827,BreachDirectory
anjian.com,2020-12-10,2328956,BreachDirectory
playerzpot.com,2024-06-28,2327835,BreachDirectory
gpotato.com,2017-11-04,2288519,BreachDirectory
tvoe.ru,2024-04-10,2268614,BreachDirectory
roatpkz.com,2023-01-23,2248994,BreachDirectory
katapult.com,2021-09-14,2232785,BreachDirectory
ticketcounter.nl,2021-04-13,2223452,BreachDirectory
walmart.com,2019-10-28,2219860,BreachDirectory
i-dressup.com,2017-02-20,2211049,BreachDirectory
cheatportal.org,2019-10-02,2209985,BreachDirectory
podrygka.ru,2023-11-20,2192944,BreachDirectory
icross.co.kr,2017-07-08,2179066,BreachDirectory
oklahoma.gov,2017-05-26,2158409,BreachDirectory
51cto.com,2017-04-10,2154744,BreachDirectory
exvagos.com,2022-09-24,2122614,BreachDirectory
pipingrock.com,2024-04-27,2107169,BreachDirectory
ipmart-forum.com,2017-11-05,2082675,BreachDirectory
thingiverse.com,2022-11-03,2079703,BreachDirectory
