"Uuu9.com","MD5"
"DaFont","MD5"
"Taringa","MD5"
"Ixigo","MD5"
"Chegg","MD5"
"MangaTraders","MD5"
"Battlefield","MD5"
"Newseasims","MD5"
"Prosap-Hotel.nl","MD5"
"Bleachanime","MD5"
"Mac-torrents","MD5"
"Linode","MD5"
"Fijilive","MD5"
"Turk-Internet","MD5"
"Evony","MD5"
"Youku","MD5"
"NetEase","MD5"
"Aipai","MD5"
"Parapa.mail.ru","MD5"
"Gamigo","MD5"
"Tip.it","MD5"
"Habbo.st","MD5"
"SevenDollarClick","MD5"
"Staminus","MD5"
"Hypergen.ch","MD5"
"Repz.eu","PHPBB3"
"Elitecurrensea","PHPBB3"
"Thelastdoor","PHPBB3"
"Mathway","PHPBB3"
"Awesomenauts","PHPBB3"
"Xsplit2","PHPBB3"
"BlankMediaGames","PHPBB3"
"MineField.fr","PHPBB3"
"HBGames.org","PHPBB3/SHA1"
"Fortniteporn.org","PHPBB3/MD5 Salted"
"Miniwargaming","PHPBB3/MD5"
"PS3-Themes","PHPBB3/MD5"
"Linuxmint","PHPBB3/MD5"
"Acparadise","PHPBB3/BCRYPT"
"Tab4u","PHPBB3/PBKDF2HMACSHA256/SHA1/MD5"
"KickStarter","RUBY"
"Fastecash","MySql5/MD5"
"Designpapa","MySql5"
"Heroesofmetin2","MySql5"
"Itemclinic","MySql5"
"Ggumim.co.kr","MySql5"
"Ultraflix","MySql5"
"Thetvdb","MySql5"
"PayPalSucks","MySql"
"Clearvoicesurveys","Plaintext"
"LovePlanet.ru","Plaintext"
"Gamesbox","Plaintext"
"Crsolutions.co.za","Plaintext"
"Playbooksports","Plaintext"
"Filmai.in","Plaintext"
"Ecapper.net","Plaintext"
"Jefit","Plaintext"
"Upkar.in","Plaintext"
"Tunedglobal","Plaintext"
"Recherche-colocation","Plaintext"
"Litecloud.me","Plaintext"
"Parkcoach","Plaintext"
"Indabamusic","Plaintext"
"Wealth-start-business","Plaintext"
"Theamazingmodels","Plaintext"
"Mcqbank.co.uk","Plaintext"
"Ivoy.mx","Plaintext"
"Speedtrader","Plaintext"
"Honestinsite","Plaintext"
"Clicklocker","Plaintext"
"Theitdepot","Plaintext"
"Rematazo","Plaintext"
"Shipspotting","Plaintext"
"Herlittleworld.fr","Plaintext"
"Jeux-fille-gratuit","Plaintext"
"SangeethHouse","Plaintext"
"Video-chat-webcam","Plaintext"
"Gforex.asia","Plaintext"
"Spidermetrix","Plaintext"
"Doublefuns","Plaintext"
"Antiagent.ru","Plaintext"
"Bbcicecream","Plaintext"
"UnicoCampania.it","Plaintext"
"Newmeet","Plaintext"
"Darnipora.lt","Plaintext"
"Vampirefreaks","Plaintext"
"Eroticy","Plaintext"
"Catho","Plaintext"
"Elementalgame","Plaintext"
"1xbet","Plaintext"
"Creative-scape.net","Plaintext"
"Gigasize","Plaintext"
"Annlanders","Plaintext"
"DirtyCode.io","Plaintext"
"Nicopronos.fr","Plaintext"
"Spielaffe.de","Plaintext"
"Cbseguess","Plaintext"
"Jobindo","Plaintext"
