"UserCount","YearBreached","Domain","Name"
"1,304,431","2020","ordersnapp.com","OrderSnapp"
"416,656,058","2019","peopledatalabs.com","PeopleDataLabs (PDL)"
"2,770,649","2019","promofarma.com","PromoFarma"
"616,146","2017","reincubate.com","Reincubate"
"73,702","2020","shockgore.com","ShockGore"
"24,007","2018","simcityforum.com","SimCity Forum"
"748,275","2019","sonicbids.com","Sonicbids"
"94,049","2017","speedtrader.com","Speedtrader"
"2,192,857","2019","startribune.com","Star Tribune"
"166,031","2020","unicocampania.it","Unico Campania"
"235,233","2020","utahgunexchange.com","UtahGunExchange Collection"
"8,661,578","2020","123rf.com","123RF"
"7,104,998","2020","animaljam.com","AnimalJam (Partial)"
"226,883,414","2020","cit0day.in","Cit0Day Collection"
"5,276,900","2020","eatigo.com","Eatigo"
"1,392,306","2020","famm.us","Famm.US"
"1,333,778","2020","geniusu.com","GeniusU"
"5,201,935","2020","glofox.com","Glofox"
"1,346,856","2020","ledger.com","Ledger Dump"
"110,301","2018","citybee.lt","CityBee"
"643,828","2019","filmai.in","Filmai.IN"
"464,920","2021","liker.com","Liker"
"11,816","2020","weleakinfo.com","WeLeakInfo Customer Data"
"533,000,000","2019","facebook.com","Facebook Scraped Data"
"1,300,516","2021","joinclubhouse.com","Clubhouse Scraped Data"
