"breachdates","published_mo_yr","domain","hacker","records","sourcetype"
"2017-09-12T00:00:00.000Z","2018-02-01T00:00:00.000Z","meridiangrouprem.com",,,"official"
"2017-12-08T00:00:00.000Z","2018-03-01T00:00:00.000Z","holidayinn.com/sacramento","",0,"news"
"2016-03-08T00:00:00.000Z","2017-09-01T00:00:00.000Z","hhs1.com",,,"news"
"2017-07-24T00:00:00.000Z","2017-10-01T00:00:00.000Z","interstateplastics.com",,,"official"
"2018-02-17T00:00:00.000Z","2017-06-01T00:00:00.000Z","bettylousinc.com",,,"official"
"2017-09-07T00:00:00.000Z","2017-09-01T00:00:00.000Z","americanquilter.com",,,"news"
"2017-05-23T00:00:00.000Z","2017-10-01T00:00:00.000Z","ks-cpas.com",,,"news"
"2018-01-31T00:00:00.000Z","2018-03-01T00:00:00.000Z","squirepattonboggs.com",,,"official"
"2018-11-01T00:00:00.000Z","2019-04-01T00:00:00.000Z","americajuiceco.com","",0,"official"
"2018-02-26T00:00:00.000Z","2018-04-01T00:00:00.000Z","hepburnandsons.com",,,"official"
"2018-05-01T00:00:00.000Z","2018-11-01T00:00:00.000Z","myidentifiers.com","",0,"news"
"2017-08-21T00:00:00.000Z","2017-08-01T00:00:00.000Z","moog.com",,,"news"
"2019-07-31T00:00:00.000Z","2019-06-01T00:00:00.000Z","bioreference.com","",0,"news"
"2018-04-03T00:00:00.000Z","2018-04-01T00:00:00.000Z","springer.com",,,"official"
"2015-12-03T00:00:00.000Z","2017-02-01T00:00:00.000Z","baristaproshop.com",,,"news"
"2017-09-05T00:00:00.000Z","2017-12-01T00:00:00.000Z","newrez.com",,,"news"
"2016-11-02T00:00:00.000Z","2017-10-01T00:00:00.000Z","memory4less.com",,,"official"
"2017-01-10T00:00:00.000Z","2017-05-01T00:00:00.000Z","pscpafirm.com","",0,"news"
"2018-02-20T00:00:00.000Z","2018-04-01T00:00:00.000Z","lpl.com",,,"official"
"2018-03-22T00:00:00.000Z","2018-05-01T00:00:00.000Z","luxuryretreats.com",,,"official"
"2018-04-08T00:00:00.000Z","2018-12-01T00:00:00.000Z","capitollawgroup.com",,,"official"
"2018-06-04T00:00:00.000Z","2019-03-01T00:00:00.000Z","instinet.com","",0,"official"
"2017-09-14T00:00:00.000Z","2017-09-01T00:00:00.000Z","targetsmart.com","",0,"news"
"2017-01-17T00:00:00.000Z","2017-01-01T00:00:00.000Z","accolade.com",,,"news"
"2017-01-24T00:00:00.000Z","2017-03-01T00:00:00.000Z","marytinc.com",,,"official"
"2017-03-15T00:00:00.000Z","2017-04-01T00:00:00.000Z","edgewoodmgmt.com",,,"news"
"2018-02-15T00:00:00.000Z","2018-02-01T00:00:00.000Z","staybridge.com","",0,"news"
"2019-01-19T00:00:00.000Z","2019-01-01T00:00:00.000Z","uiowa.edu",,,"news"
"2017-01-23T00:00:00.000Z","2017-02-01T00:00:00.000Z","k12.mo.us",,,"news"
"2019-01-08T00:00:00.000Z","2019-01-01T00:00:00.000Z","ilcorp.org","",0,"official"
"2017-02-09T00:00:00.000Z","2017-03-01T00:00:00.000Z","risingtide.org",,,"news"
"2017-10-26T00:00:00.000Z","2018-03-01T00:00:00.000Z","tidewatermortgage.com",,,"official"
"2017-05-01T00:00:00.000Z","2018-06-01T00:00:00.000Z","mcmllc.com",,,"official"
"2018-09-23T00:00:00.000Z","2019-04-01T00:00:00.000Z","bbyo.org",,,"official"
"2019-03-01T00:00:00.000Z","2019-03-01T00:00:00.000Z","portableservice.com",,,"news"
"2018-01-28T00:00:00.000Z","2018-02-01T00:00:00.000Z","troutcpa.com",,,"news"
"2017-04-27T00:00:00.000Z","2017-06-01T00:00:00.000Z","southerntide.com",,,"official"
"2019-03-04T00:00:00.000Z","2019-05-01T00:00:00.000Z","statefarm.com",,,"official"
"2017-01-27T00:00:00.000Z","2017-02-01T00:00:00.000Z","ltgc.com",,,"official"
"2017-02-15T00:00:00.000Z","2017-03-01T00:00:00.000Z","atlanticcoastmortgage.com",,,"official"
"2019-02-13T00:00:00.000Z","2019-04-01T00:00:00.000Z","villagehatshop.com",,,"news"
"2018-01-30T00:00:00.000Z","2018-02-01T00:00:00.000Z","etsy.com",,,"news"
"2019-05-28T00:00:00.000Z","2019-06-01T00:00:00.000Z","uchicagomedicine.org",,,"news"
"2018-05-07T00:00:00.000Z","2018-06-01T00:00:00.000Z","fcps.edu",,,"official"
"2017-05-11T00:00:00.000Z","2017-07-01T00:00:00.000Z","gomerdingercpas.com",,,"news"
"2017-02-01T00:00:00.000Z","2017-03-01T00:00:00.000Z","intelepeer.com",,,"official"
"2017-11-03T00:00:00.000Z","2017-11-01T00:00:00.000Z","iuhealth.org",,,"official"
"2017-01-03T00:00:00.000Z","2017-06-01T00:00:00.000Z","condiestoker.com",,,"official"
"2017-03-08T00:00:00.000Z","2017-04-01T00:00:00.000Z","paintnite.com","",0,"news"
"2017-04-11T00:00:00.000Z","2017-05-01T00:00:00.000Z","baylesscpa.com","",0,"official"
"2018-05-14T00:00:00.000Z","2018-07-01T00:00:00.000Z","jewishcincinnati.org",,,"official"
"2016-07-06T00:00:00.000Z","2017-07-01T00:00:00.000Z","successpartners.com",,,"news"
"2017-06-27T00:00:00.000Z","2017-08-01T00:00:00.000Z","cpamfa.com",,,"official"
"2017-01-22T00:00:00.000Z","2017-02-01T00:00:00.000Z","roxytrading.com",,,"official"
"2018-01-18T00:00:00.000Z","2018-01-01T00:00:00.000Z","gillettechamber.com",,,"official"
"2015-04-10T00:00:00.000Z","2017-06-01T00:00:00.000Z","foxandhound.com","",0,"news"
"2017-03-16T00:00:00.000Z","2017-03-01T00:00:00.000Z","defpoint.com",,,"news"
