dump_name,breach_date,record_count,source
Type-Together.com,,58026,LeakCheck.io
VBForums.com,2016-06,192054,LeakCheck.io
vBulletin.org,2016-02,508214,LeakCheck.io
VHB.com,2015-03,14258,LeakCheck.io
ViralNugget.com,,27756,LeakCheck.io
Youku.com,2016-12,103016149,LeakCheck.io
ZeroToHundred.com,2016-06,104213,LeakCheck.io
Zoosk.com,2011-01,51591892,LeakCheck.io
Socialkit.ru,,36501,LeakCheck.io
Ulmon.com,2020-01,142280,LeakCheck.io
LinkedIn.com,2012-05,54475707,LeakCheck.io
D3scene.com,2019-06,786047,LeakCheck.io
FirstVDS,2012-08,116494,LeakCheck.io
vkmix.com,2020-02,3396210,LeakCheck.io
xSplit,2013-11,4396014,LeakCheck.io
Dailymotion/Dropbox/Canva/8fit Compilation,,396551,LeakCheck.io
PinPics.com,,35647,LeakCheck.io
Akiba-Heroine.com,,160462,LeakCheck.io
BollywoodHunts.com,,87133,LeakCheck.io
Anidub,2018-07,43758,LeakCheck.io
Warmane.com,2016-12,947257,LeakCheck.io
Shein.com,2018-06,21115893,LeakCheck.io
Wishbone.io,2020-01,9973493,LeakCheck.io
Screenblaze.com,2016-11,260274,LeakCheck.io
MySpace.com,2008-07,336546293,LeakCheck.io
DailyBooth.com,2020-04,1029934,LeakCheck.io
CafeMom.com,2014-04,2628022,LeakCheck.io
Sprashivai.ru,2015-05,14215321,LeakCheck.io
LastCraft,2018-11,31904,LeakCheck.io
TimeCraft,2017-11,2348,LeakCheck.io
Evite.com,2013-08,11568898,LeakCheck.io
Neopets.com,2013-05,26878322,LeakCheck.io
Disqus.com,2012-07,15498708,LeakCheck.io
Konduit,2020-04,206001,LeakCheck.io
Cristalix,2017-11,72849,LeakCheck.io
Ultraflix.com,2020-05,608751,LeakCheck.io
ShortTask.com,2020-05,199593,LeakCheck.io
Sonicbids.com,2019-12,747631,LeakCheck.io
Nulled.ch,2020-05,43479,LeakCheck.io
Waydate.com,2017-11,103533,LeakCheck.io
Primegaming,2016-04,9427,LeakCheck.io
Lifebear.com,2019-02,3668912,LeakCheck.io
Mashacker.com,2020-02,426838,LeakCheck.io
Celebriti.com,2020-04,126483,LeakCheck.io
AdultFriendFinder,2016-10,173438676,LeakCheck.io
Taringa.net,2017-08,28283549,LeakCheck.io
Twitter.com,2015-11,23700089,LeakCheck.io
Chronicle.com,2020-05,1659957,LeakCheck.io
Comcast,2015-11,616706,LeakCheck.io
F.elex.com,2016-06,1016831,LeakCheck.io
HiAPK.com,2014-01,9067763,LeakCheck.io
Crautos.com,,206570,LeakCheck.io
AshleyMadison.com,2015-07,4260,LeakCheck.io
TechnicPack.net,2018-10,238510,LeakCheck.io
Sreda.photo,2020-04,36023,LeakCheck.io
SoulSplit,,1647,LeakCheck.io
