"BreachName","Data"
"Forums.prowrestling.com","Email, Hash, Salt, Username"
"Forums.relicnews.com","Email, Hash, Salt, Username"
"Forums.superbetter.com","Email, Hash, Salt, Username"
"Francony.com","Email, Hash"
"Freebitco.in","Email, Password"
"Freemantech.co.uk","Email, Hash, Salt"
"G3nx.com","Email, Hash, IP1, Salt, Username"
"Gabba.cc","Email, Password"
"Gadgetultra.com","Email, Password"
"Galileo-kenya.com","Email, Password"
"Gallery.auroraimages.com.au","Email, Hash"
"Gambia.com","Email, Hash"
"Gameshot.net(ips)","Email, IP1"
"Gamesnord.com","Email, Password"
"Gamevn.com","Email, Hash, Salt, Username"
"Gamewar.com","Email, Password"
"Gamigo.com","Email, Hash"
"Gardexinc.com","Email, Hash"
"Gastrotrend.cz","Email, Hash"
"Geding.com.tw","Email, Hash"
"Genbank.at","Email, Hash"
"Genomacinst.cz","Email, Hash"
"Germany-netcologne.db","Email, Hash, Username"
"Getawaygolf.com.au","Email, Password"
"Getyourmusic.de","Email, Password"
"Ggseventos.com.br","Email, Hash"
"Gic-japan.co.jp","Email, Hash"
"Giftsshop.in","Email, Password"
"Godhumor.dk","Email, Hash"
"Gosugamers.net","Email, First, Hash, Phone, Username"
"Gpsuruguay.com","Email, Hash"
"Gramlove.co","Email, Hash"
"Greatwalloptical.com.hk","Email, Hash"
"Green-sell.info","Email, Hash"
"Gregg-school.co.uk","Email, Hash"
"Groupezk.com","Hash, IP1, Username"
"Gruppem.co.jp","Email, Hash, Salt"
"Guardianangeldrivingschool.com","Email, Password"
"Guestranches.com","Email, Password"
"Guildless.net","Email, Hash"
"Guitar-museum.com","Email, Password"
"Gumishop.si","Email, Hash"
"Hairad.co.kr","Email, Password"
"Hastingsmotorcare.co.uk","Email, Password"
"Havelikalbakken.no","Email, Password"
"Hcrapaddler.com","Email, Password"
"Healthcaremarketing.eu","Email, Hash"
"Hec.gov.pk","Email, First, Password, Phone"
"Hedgeconnection.com","Email, Password"
"Herzliyamuseum.co.il","Email, Hash"
"Hexui.com","Email, Hash, IP1, Salt, Username"
"Hikinghq.net","DOB, Email, Hash, IP1, Salt, Username"
"Historiasinsolitas.com","Email, Hash"
"Hitjob.ks.ua","Email, Password"
"Hnnsum","Email, Hash, Password, Username"
"Hobesoundhomesandproperty.com","Email, Password"
"Home.yogi-house.com","Email, Hash"
"Homeeasybuy.com","Email, Hash"
"Hongfire.com","DOB, Email, Hash, IP1, Salt, Username"
"Hoststudent.co.uk","Email, Password"
"Hotelhorba.eu","Hash, Username"
"Hotmail.com(random)","Email, Password, Username"
"Html5gamedevs.com","Email, Hash, Salt, Username"
"Huang24.com","Email, Password"
"Hypergen.ch","Email, Hash, IP1, Username"
"I-players.com","Email, Password"
"I66.de","Email, Password"
"Ican.org.np","Email, Password"
"Iceplex.tv","Address, DOB, Email, First, Last, Password"
"Ichatusa","Email, Password, Username"
"Icrafts.su","Email, First, Hash, IP1, Phone, Username"
"Ieikuwait.org","Email, Password"
"Ifmsis.ac.tz","Email, Hash"
"Ijcsjournal.com","Email, Hash"
"Ima-india.org","Email, Password"
"Imath.imlearning.com.tw","Email, Hash"
"Imics.nccu.edu.tw","Email, Password"
"Immo-mit-bild.de","Email, Password"
"Immobilien-streuer.de","Email, Password"
"Indisa.es","Email, Hash"
"Industrialreviews.ru","Email, Hash"
"Inexglobal.com","Email, Password"
"Infotex.ru","Email, Hash"
"Inovarpublico.com.br","Email, Hash"
"Insanity2.com","Email, Hash, Username"
"Instantcashads.com","Email, Password"
"Interfacelift.com","Email, Password"
"Interlude.net.ua","Hash, Username"
"Internetfamous.com","Email, First, Last, Password, Username"
"Interself.ru","Email, Password"
"Inu.eurobeat-prime.com","Email, Hash"
"Inventorconnections.com","Email, Password"
"Invitro.hu","Email, Password"
"Iop.co.th","Email, Password"
"Iphotoall.com","Email, Hash"
"Iqrashop.com","Email, Hash, Salt"
"Iradiophilly.com","Email, Password"
"Itdoc.ru","Email, Hash"
"Itjobs-online.com","Email, Password"
"Izbori.hr","Email, First, Hash, IP1, Last, Phone, Username"
"Jangidbrahminsamaj.com","Email, Hash, Username"
"Jaos.com","Email, Hash"
"Japanese","Email, Password"
"Javaspice.com.au","Email, Hash"
"Jenhodj.freeinfo","Password, ﻿Email"
"Jennyhaskins.com","Email, Hash"
"Jesuk.com","Email, Hash"
"Jetsfansunited.com","DOB, Email, Hash, IP1, Salt, Username"
"Jiangsu.net","Email, Hash"
"Jie-sheng168.com.tw","Email, Password"
"Jimcordova.com","Email, Hash"
"Jobdunia.com","Email, Password"
"Jobs.cv.ua","Email, Password"
"Jobs4mnc.com","Email, Hash"
"Journality.hu","Email, Password"
"Journeylogic.in","Email, Hash"
"Joyheat.com","Email, Hash, Salt, Username"
"Jozifm.co.za","Email, Password"
"Jpag.org","Email, Hash"
"Justdate.com","DOB, Email, First, Last"
"Jzauction.com.cn","Email, Hash"
"K-1sport.de","Email, Hash"
"Kaakelikeskus.net","Address, Email, First, Hash, Phone, Username"
"Kajak.org.pl","Email, Hash"
"Kaosbolaclothing.com","Email, Hash"
"Kassotechnik.sk","Email, Password"
"Keigarhomes.co.uk","Email, Password"
"Kgolagano-it.co.za","Email, Password"
"Khansmeat.co.za","Email, Password"
"Kinesiomotossicologia.it","Email, Hash"
"Kkanita.diaryclub.com","Email, Hash"
"Knowyourcollege-gov.in","Email, Hash, Password"
"Kokshe.biz","Email, Password"
"Kolna.ma","Email, Hash, IP1, Phone"
"Komodtumba.ru","Email, Hash"
"Kosarkarski-trenerji.com","Email, Password"
"Kreis-ahrweiler.info","Email, Hash"
"Kreisklassengoetter.de","Email, Hash"
"Krimmel-gmbh.de","Email, Hash"
"Krkediciones.es","Email, Hash"
"Kryptonic.pw","Email, Hash, IP1, IP2, Username"
"Kstam.kofst.or.kr","Email, Password"
"Kukerlandia.com","Email, Hash"
"Kylesdata(credit)","Address, DOB, Email, First, IP1, Last, Phone"
"Kylesdata(instantcheckmate.com)","Address, Email, First, IP1, Last, Phone"
"Kylesdata(payday)","Address, DOB, Email, First, IP1, Last, Phone"
"Kysportsreport.com","Email, Hash, IP1, Salt, Username"
"L2style.ru","Email, Password, Username"
"Labl.teriin.org","Email, Hash"
"Lafacade.elforia-design.fr","Email, Password"
"Lancastervetclinic.com","Email, Password"
"Land-rover-parts-shop.com","Email, Hash"
"Larevuedupraticien.fr","Email, Hash"
"Lashamweather.co.uk","Email, Password"
"Lastminute.eurodesk.eu","Email, Hash"
"Ldsmusicnow.com","Email, Hash"
"Leagueoflegends-bg.com","Email, Hash, IP1, Salt, Username"
"Leagueoflegendsforum","Password, ﻿Email"
"Leakforums.org","Email, Hash, IP1, Salt, Username"
"Learning.it","Email, Password"
"Lenten-season.com","Email, Hash"
"Leotvhd.com","Email, Hash"
"Levir.com.br","Email, Hash, Salt"
"Lexvidhi.com","Email, Password"
"Lfvmv.de","Email, Hash"
"Licensestore.jp","Email, Hash"
"Lifepositive.com","Email, Hash"
"Lit.org","Email, Hash"
"Lizardstresser","Email, Password, Username"
"Loc.gov","Email, Hash, Username"
"Localrank.watch","Address, Email, First, Phone"
"Lognetinfo.com.br","Email, Password"
"Logospoetry.org","Email, Password"
"Lol-eune","Password, Username"
"Ltvb.de","Email, Password"
"Lucaforum.demoscene.hu","Email, Hash"
"Ludovikbrushes.com","Email, Password"
"Lufctalk.com","Email, Hash"
"Luhc.org.uk","Email, Hash"
"Lustigestories.de","Email, Password"
"Lzp.gov.lv","Email, Hash"
"M.basketgoncelingresivaudan.com","Email, Password"
"Magaloc.com","Email, Hash"
"Mahindraecolecentrale.edu.in","Email, Password"
"Mail.kpilib.ru","Email, Password"
"Maineproperty.com","Email, Password"
"Mainmenu.acbradio.org","Email, Hash"
"Majkluvsvet.cz","Email, Hash"
"Mak-unatrac.com","Email, Hash"
"Maksamall.com","Email, Hash"
"Malwarebytes.org","Email, Hash, IP1, Salt, Username"
"Malzkornfoto.de","Email, Hash"
"Mama.ladyzone.bg","Email, Hash, IP1, Salt, Username"
"Manuales-gratis.com","Email, Password"
"Marijuanagrowing.com","Email, Hash, Salt, Username"
"Marinesoutheast.co.uk","Email, Hash, ﻿Email"
"Marketdownload.com","Email, Hash"
"Mauropascoli.it","Email, Password"
"Maxwebinfo.com","Email, Password"
"Maz-sound.de","Email, Hash"
"Mbuniverse.co.uk","Email, Hash"
"Mcleaks.net","Email, Password"
"Mcrockstars.com","Email, Hash, IP1, Salt, Username"
"Me2dvd.com","Email, Password"
"Medicalwale.com","Email, Hash"
"Medmag.ru","Email, Hash"
"Meloman-bg.com","Email, Password"
"Meptrainings.com","Email, Password"
"Mernetwork.com","Email, Hash, Salt, Username"
"Mesas.de","Email, Hash"
"Michaelrother.de","Email, Hash"
"Michtoy.com","Address, Email, First, Last, Password"
"Micitsci.com","Email, Hash"
"Miciudad.es","Email, Hash"
"Micmacfrance.com","Email, Hash"
"Micros-elearning.com","Email, Hash"
"Midnightcamera.com","Email, Hash"
"Mile33.com","Address, Email, First, Hash, IP1, Last, Phone"
"Mindme.ie","Email, Hash"
"Mineagepvp.org","Email, Username"
"Minecraft-money.ru","Email, Password, Username"
"Minecraftnews.net","Email, Hash, IP1, Salt, Username"
"Mineedy.ys","Email, Username"
"Mineman.club","IP1, ﻿Username"
"Mirakar.com","Email, Hash"
"Mis-sp.org.br","Email, Hash"
"Misssocialnetwork.com","Email, Password"
"Mixkatalog.de","Email, Hash"
"Mizihuatanejo.co","Email, Password"
"Mkcsplit.hr","Email, Password"
"Mmogames.com","Email, Password"
"Mobilneforum.pl","Email, Hash, IP1, Salt, Username"
"Modderdb","Email, IP1, Password"
"Mojobraz.sk","Email, Password"
"Mondo-romania.ro","Email, Password"
"Money.com.au","Email, First, Hash"
"Money1688.tw","Email, Password"
"Mop.com","Email, Password"
"Moto.i-o.pl","Email, Hash"
"Mountain.ru","Email, Password"
"Mountainpathproperties.com","Email, Password"
"Mp3hungama.com","Email, Hash, Username"
"Msn","Address, Email, First"
"Mumayi.com","DOB, Email, Hash, IP1, IP2, Username"
"Mumukshu.org","Email, Password"
"Mundoacuicola.cl","Email, Password"
"Music.lt","Email, Hash"
"Music.zortam.com","Email, Password"
"Musicboy.co.uk","Email, Hash"
"My-paren.ru","Email, Hash"
"Myarmtv.com","Email, Password"
"Mygolf-tour.co.uk","Email, Hash"
"Myshoeconnection.com","Address, Email, First, Last, Password, Phone"
"Naamyoga.com","Email, Password"
"Nancyspicks.com","Email, Password"
"Natalieimbruglia.com","Email, Password"
"Nattyfree.com","Email, Hash"
"Naughtywiki(naughtyamerica)","Email, First, Hash, Username"
"Near-reality.io(ingame)","Hash, Username"
"Nemmehjemmesider.dk","Email, Password"
"Neofriends.com","Email, Password, Username"
"Netlog.com","Email, Password"
"Networks","Email, Hash, Username"
"Newbergreport.com","Email, Hash"
"Newjerseyherald","Email, Hash, Username"
"Newlifechurch.org","Email, Password"
"Newmart","DOB, Email, Hash, Salt, Username"
"News.51xiaotu.com","Email, Hash"
"Newsoflegends.com","Email, Hash, Username"
"Nextgenupdate.com","Email, Hash, IP1, Username"
"Nexusmods.com","Email, Hash, Salt, Username"
"Nickandgreg.net","Email, Hash"
"Nightmyworld.com","Email, Password"
"Niot.res.in","Email, Hash"
"Nisute.com","Email, Hash"
"Nixforums.org","Email, Hash, Username"
"Noblessemall.com","Email, Hash"
"Noctalia.fr","Email, Hash, Username"
"Notrebonneaffaire.com","Email, Hash"
"Nra.full-throttlecom2.net","Email, Hash, Salt"
"Nsacoop.org","Email, Hash"
"Oculate.us","IP1, Username"
"Offrobot.com","Email, Password"
"Ohionissans.com","DOB, Email, First, Hash, IP1, IP2, Salt, Username"
"Okanaganvacationhomerentals.com","Email, Hash"
"Okayad.net","Email, Hash"
"Okayama.q-jin.ne.jp","Email, Hash"
"Okmedicina.it","Email, Hash, Salt"
"Oldmoney.kr","Email, Hash"
"Oneislandband.com","Email, Password"
"Onionstresser.com","Email, Hash, Username"
"Onlygirlsgames.com","Email, Hash"
"Ontcm.com","Email, Hash"
"Optec-developpement.fr","Email, Password"
"Orientalcopper.com","Email, Hash"
"Osas.ca","Email, Password"
"Ostiapvp.org","IP1, Username"
"Osveldahar.org","Email, Hash, IP1, Salt, Username"
"Otmouthe.fr","Email, Hash"
"Ownedcore.com","Email, Hash, IP1, Salt, Username"
"Oxford-diffraction.com","Email, Hash"
"P2ptvsports.com","Email, Hash"
"Paddypower.com","DOB, Email, First, IP1, Last, Phone, Username"
"Palmq.net","Email, Hash"
"Palmq.ru","Email, Hash"
"Pandopuntokualda.com","Email, Hash"
"Papanica.sk","Email, Hash"
"Parapa.mail.ru","Email, Hash, Username"
"Pardeevillecarshow","Email, Hash, Username"
"Parraautomotores.com.ar","Email, Hash"
"Partners.incanto.eu","Email, Password"
"Passwordscity.net","DOB, Email, Hash, IP1, Salt, Username"
"Pc-it-shop.de","Email, Hash"
"Pcbuyersguide.com.ph","Email, Hash"
"Pedigree.gamedogs.cz(forums)","DOB, Email, Hash, IP1, Username"
"Pepinster.be","Email, First, Hash, Last, ﻿Username"
"Perifericrecords.com","Email, Password"
"Phitrust.com","Email, Password"
"Pianc.org","Email, Password"
"Piatadeporumbei.ro","Email, Password"
"Pineriversyoga.com","Email, Hash"
"Pinncloud.com","Email, Password"
"Pjg.ee","Email, Hash"
"Pk.ipobar.com","Email, Hash"
"Planetgame.com","Email, Password"
"Planetmountain.com","Email, Password"
"Playerapop.com","Email, Hash"
"Playhabz","Email, Hash, IP1, Username"
"Playtestvr.com","Email, Hash"
"Plmconnections.com","Email, Password"
"Plu.cn","Email, Hash, IP1, Salt, Username"
